id,incompleteness,violation
nfr1.txt,3,1
nfr10.txt,3,1
nfr11.txt,0,0
nfr12.txt,2,1
nfr2.txt,4,0
nfr3.txt,4,0
nfr4.txt,4,0
nfr5.txt,4,0
nfr6.txt,0,0
nfr7.txt,4,0
nfr8.txt,3,0
nfr9.txt,3,1
req_1.txt,3,0
req_10.txt,3,0
req_11.txt,4,0
req_12.txt,3,0
req_13.txt,3,0
req_14.txt,0,0
req_15.txt,4,0
req_16.txt,4,0
req_17.txt,4,0
req_18.txt,3,1
req_19.txt,0,0
req_2.txt,4,0
req_20.txt,4,0
req_21.txt,0,0
req_22.txt,3,1
req_23.txt,3,1
req_24.txt,4,0
req_25.txt,3,1
req_26.txt,4,0
req_27.txt,4,0
req_28.txt,4,0
req_29.txt,0,0
req_3.txt,0,0
req_30.txt,3,0
req_31.txt,3,0
req_32.txt,2,1
req_33.txt,3,1
req_34.txt,4,0
req_35.txt,3,0
req_36.txt,4,0
req_38.txt,3,1
req_39.txt,4,0
req_4.txt,4,0
req_40.txt,4,0
req_5.txt,4,0
req_6.txt,4,0
req_7.txt,3,0
req_8.txt,2,1
req_9.txt,4,0
